date,hour,prediction,real
42333.000,20.000,32.097,27.720
42333.000,21.000,30.844,26.280
42333.000,22.000,29.791,25.390
42333.000,23.000,28.579,24.380
42334.000,0.000,27.848,23.440
42334.000,1.000,27.217,23.170
42334.000,2.000,26.814,23.050
42334.000,3.000,26.428,23.180
42334.000,4.000,26.384,23.630
42334.000,5.000,27.764,24.790
42334.000,6.000,32.788,30.930
42334.000,7.000,37.796,44.540
42334.000,8.000,39.921,44.100
42334.000,9.000,38.789,33.140
42334.000,10.000,37.895,37.230
42334.000,11.000,36.951,37.170
42334.000,12.000,35.642,34.470
42334.000,13.000,34.966,34.420
42334.000,14.000,34.669,34.470
42334.000,15.000,34.648,51.950
42334.000,16.000,35.002,56.680
42334.000,17.000,35.977,58.030
42334.000,18.000,34.735,41.990
42334.000,19.000,32.927,28.970
42334.000,20.000,31.103,25.400
42334.000,21.000,29.862,24.580
42334.000,22.000,28.515,23.550
42334.000,23.000,27.400,22.810
42335.000,0.000,23.354,21.670
42335.000,1.000,21.601,20.910
42335.000,2.000,21.170,20.250
42335.000,3.000,20.894,20.380
42335.000,4.000,20.950,21.070
42335.000,5.000,22.482,25.570
42335.000,6.000,29.991,30.940
42335.000,7.000,36.361,55.080
42335.000,8.000,36.939,41.910
42335.000,9.000,36.779,28.530
42335.000,10.000,36.311,35.930
42335.000,11.000,35.213,35.330
42335.000,12.000,33.645,34.500
42335.000,13.000,32.361,34.460
42335.000,14.000,31.411,34.470
42335.000,15.000,30.860,50.070
42335.000,16.000,31.724,50.010
42335.000,17.000,32.378,42.000
42335.000,18.000,30.888,35.310
42335.000,19.000,29.611,24.700
42335.000,20.000,28.694,22.430
42335.000,21.000,28.072,22.100
42335.000,22.000,27.006,20.950
42335.000,23.000,25.977,19.730
42336.000,0.000,25.061,18.340
42336.000,1.000,24.240,17.280
42336.000,2.000,23.488,16.900
42336.000,3.000,22.751,16.930
42336.000,4.000,22.263,17.520
42336.000,5.000,22.485,18.760
42336.000,6.000,23.228,19.610
42336.000,7.000,25.560,20.670
42336.000,8.000,28.100,21.480
42336.000,9.000,29.868,21.850
42336.000,10.000,29.983,22.090
42336.000,11.000,29.493,22.140
42336.000,12.000,28.798,22.130
42336.000,13.000,28.600,22.090
42336.000,14.000,28.760,22.150
42336.000,15.000,29.342,22.420
42336.000,16.000,30.581,23.110
42336.000,17.000,31.976,23.370
42336.000,18.000,31.283,22.910
42336.000,19.000,29.698,22.260
42336.000,20.000,28.395,21.860
42336.000,21.000,27.832,21.020
42336.000,22.000,26.861,20.220
42336.000,23.000,25.934,19.250
42337.000,0.000,24.486,19.570
42337.000,1.000,22.530,18.870
42337.000,2.000,21.285,18.070
42337.000,3.000,20.530,17.440
42337.000,4.000,20.123,17.020
42337.000,5.000,20.035,17.570
42337.000,6.000,20.142,18.300
42337.000,7.000,20.623,18.350
42337.000,8.000,21.284,18.870
42337.000,9.000,22.212,19.640
42337.000,10.000,23.070,20.380
42337.000,11.000,23.780,20.760
42337.000,12.000,23.929,20.790
42337.000,13.000,24.312,20.380
42337.000,14.000,25.182,20.500
42337.000,15.000,26.705,21.100
