Date,Hour
42223,8
42223,9
42223,10
42223,11
42223,12
42223,13
42223,14
42223,15
42223,16
42223,17
42223,18
42223,19
42223,20
42223,21
42223,22
42223,23
42224,0
42224,1
42224,2
42224,3
42224,4
42224,5
42224,6
42224,7
42224,8
42224,9
42224,10
42224,11
42224,12
42224,13
42224,14
42224,15
42224,16
42224,17
42224,18
42224,19
42224,20
42224,21
42224,22
42224,23
42225,0
42225,1
42225,2
42225,3
42225,4
42225,5
42225,6
42225,7
42225,8
42225,9
42225,10
42225,11
42225,12
42225,13
42225,14
42225,15
42225,16
42225,17
42225,18
42225,19
42225,20
42225,21
42225,22
42225,23
42226,0
42226,1
42226,2
42226,3
42226,4
42226,5
42226,6
42226,7
42226,8
42226,9
42226,10
42226,11
42226,12
42226,13
42226,14
42226,15
42226,16
42226,17
42226,18
42226,19
42226,20
42226,21
42226,22
42226,23
42227,0
42227,1
42227,2
42227,3
42227,4
42227,5
42227,6
42227,7
42227,8
42227,9
42227,10
42227,11
42227,12
42227,13
42227,14
42227,15
42227,16
42227,17
42227,18
42227,19
42227,20
42227,21
42227,22
42227,23
42228,0
42228,1
42228,2
42228,3
42228,4
42228,5
42228,6
42228,7
42228,8
42228,9
42228,10
42228,11
42228,12
42228,13
42228,14
42228,15
42228,16
42228,17
42228,18
42228,19
42228,20
42228,21
42228,22
42228,23
42229,0
42229,1
42229,2
42229,3
42229,4
42229,5
42229,6
42229,7
42229,8
42229,9
42229,10
42229,11
42229,12
42229,13
42229,14
42229,15
42229,16
42229,17
42229,18
42229,19
42229,20
42229,21
42229,22
42229,23
42230,0
42230,1
42230,2
42230,3
42230,4
42230,5
42230,6
42230,7
42230,8
42230,9
42230,10
42230,11
42230,12
42230,13
42230,14
42230,15
42230,16
42230,17
42230,18
42230,19
42230,20
42230,21
42230,22
42230,23
42231,0
42231,1
42231,2
42231,3
